Book,Odds,Bet Type,Team,Expected Value (%),Probability,Difference,Line,Projection
Fanduel,-115,Under,Los Angeles Dodgers,28.953619147093242,0.6897519163681731,9.799999999999997,103.5,93.7
BetMGM,-110,Under,Atlanta Braves,9.758171175612375,0.5749237537770172,3.200000000000003,101.5,98.3
Fanduel,-122,Under,Houston Astros,3.170404379900198,0.5669724925381903,2.9000000000000057,93.5,90.6
Fanduel,-105,Under,New York Yankees,12.751075490403728,0.577505508609385,3.299999999999997,90.5,87.2
Fanduel,-110,Under,Philadelphia Phillies,15.688535644779598,0.6059875676631312,4.5,89.5,85
Fanduel,-105,Under,Baltimore Orioles,23.063966342239702,0.6303276324846424,5.700000000000003,89.5,83.8
Fanduel,-112,Under,Texas Rangers,22.004948219898544,0.6445544434258791,6.5,88.5,82
Fanduel,-112,Under,Seattle Mariners,3.5692676821594844,0.5471583953019746,2.200000000000003,87.5,85.3
BetMGM,-105,Under,Minnesota Twins,3.216054147546778,0.528667594414264,1.5999999999999943,86.5,84.9
